,Tenor,Description,Yield,maturity,Disc_factor
0,1M,US0FRA BGN Curncy,5.358,0.08333333333333333,0.9955449532931716
1,2M,US0FRB BGN Curncy,5.356,0.16666666666666666,0.9911114058784699
2,3M,US0FRC BGN Curncy,5.347,0.25,0.986705003028017
3,4M,US0FRD BGN Curncy,5.306,0.3333333333333333,0.9823517538073585
7,8M,US0FRH BGN Curncy,5.032,0.3333333333333333,0.9820120825640383
4,5M,US0FRE BGN Curncy,5.239,0.4166666666666667,0.9780723182241331
5,6M,US0FRF BGN Curncy,5.17,0.5,0.9738675209911829
6,7M,US0FRG BGN Curncy,5.102,0.5833333333333334,0.9697357505937241
8,9M,US0FRI BGN Curncy,4.965,0.75,0.9619054031583981
9,10M,US0FRJ BGN Curncy,4.897,0.8333333333333334,0.9579880260436345
10,11M,US0FRK BGN Curncy,4.834,0.9166666666666666,0.9541366933793772
11,12M,US0FR1 BGN Curncy,4.773,1.0,0.950349152147486
12,18M,US0FR1F BGN Curncy,4.375,1.5,0.9297859939630699
13,2Y,US0FR2 BGN Curncy,4.104,2.0,0.9109012059395228
14,3Y,US0FR3 BGN Curncy,3.795,3.0,0.8769802267465086
15,4Y,US0FR4 BGN Curncy,3.645,4.0,0.8455898622408221
16,5Y,US0FR5 BGN Curncy,3.571,5.0,0.8159266372967575
17,6Y,US0FR6 BGN Curncy,3.534,6.0,0.7875953522946207
18,7Y,US0FR7 BGN Curncy,3.515,7.0,0.7603922705995413
19,8Y,US0FR8 BGN Curncy,3.507,8.0,0.7341875000475016
20,9Y,US0FR9 BGN Curncy,3.508,9.0,0.7088787140288751
21,10Y,US0FR10 BGN Curncy,3.511,10.0,0.6844218351932052
